Date,USD/USDT
2021-01-01,1.000614
2021-01-02,1.001888
2021-01-03,1.000427
2021-01-04,1.0005
2021-01-05,1.000174
2021-01-06,1.002229
2021-01-07,1.001448
2021-01-08,1.000365
2021-01-09,1.000014
2021-01-10,1.002924
2021-01-11,1.000252
2021-01-12,1.000592
2021-01-13,1.000491
2021-01-14,1.00002
2021-01-15,0.998977
2021-01-16,0.999835
2021-01-17,1.000227
2021-01-18,1.000412
2021-01-19,1.000769
2021-01-20,1.000413
2021-01-21,1.000697
2021-01-22,0.999754
2021-01-23,1.001362
2021-01-24,1.000555
2021-01-25,1.001454
2021-01-26,0.999953
2021-01-27,1.001102
2021-01-28,1.001774
2021-01-29,1.001297
2021-01-30,1.000483
2021-01-31,1.00122
2021-02-01,1.000838
2021-02-02,1.000645
2021-02-03,1.001389
2021-02-04,1.000989
2021-02-05,1.000788
2021-02-06,1.000127
2021-02-07,1.001124
2021-02-08,1.001241
2021-02-09,1.001082
2021-02-10,1.001268
2021-02-11,1.000701
2021-02-12,1.000467
2021-02-13,1.001702
2021-02-14,1.000803
2021-02-15,1.000787
2021-02-16,1.000263
2021-02-17,1.000341
2021-02-18,1.000362
2021-02-19,1.000045
2021-02-20,1.000228
2021-02-21,1.00008
2021-02-22,1.000312
2021-02-23,1.000168
2021-02-24,0.999995
2021-02-25,1.000746
2021-02-26,1.000075
2021-02-27,0.99996
2021-02-28,1.001221
2021-03-01,1.002087
2021-03-02,1.000418
2021-03-03,1.00104
2021-03-04,1.000398
2021-03-05,1.000052
2021-03-06,1.000782
2021-03-07,1.000127
2021-03-08,1.000313
2021-03-09,1.000419
2021-03-10,1.000681
2021-03-11,1.0006
2021-03-12,1.000554
2021-03-13,1.000362
2021-03-14,0.99983
2021-03-15,0.999835
2021-03-16,1.000359
2021-03-17,1.000037
2021-03-18,0.999031
2021-03-19,1.000968
2021-03-20,1.002766
2021-03-21,1.002264
2021-03-22,1.001136
2021-03-23,1.001811
2021-03-24,1.001024
2021-03-25,1.001242
2021-03-26,1.001033
2021-03-27,1.001286
2021-03-28,1.000503
2021-03-29,1.000639
2021-03-30,0.999804
2021-03-31,1.000816
2021-04-01,0.999983
2021-04-02,1.000615
2021-04-03,1.000508
2021-04-04,1.003145
2021-04-05,1.003438
2021-04-06,1.000106
2021-04-07,1.001607
2021-04-08,1.001883
2021-04-09,1.00066
2021-04-10,1.001109
2021-04-11,1.000524
2021-04-12,1.002161
2021-04-13,1.000019
2021-04-14,0.999235
2021-04-15,1.001496
2021-04-16,1.001086
2021-04-17,1.002434
2021-04-18,1.011404
2021-04-19,0.999953
2021-04-20,0.999936
2021-04-21,1.000092
2021-04-22,0.999944
2021-04-23,0.999946
2021-04-24,1.000138
2021-04-25,1.000136
2021-04-26,1.000155
2021-04-27,0.999841
2021-04-28,1.000163
2021-04-29,0.999814
2021-04-30,1.000044
2021-05-01,0.999871
2021-05-02,0.999912
2021-05-03,0.999959
2021-05-04,0.999931
2021-05-05,0.999983
2021-05-06,1.000069
2021-05-07,1.000048
2021-05-08,0.999949
2021-05-09,1.000168
2021-05-10,0.999801
2021-05-11,0.999813
2021-05-12,1.000067
2021-05-13,0.99992
2021-05-14,1.000096
2021-05-15,0.99996
2021-05-16,1.000124
2021-05-17,0.999851
2021-05-18,0.999983
2021-05-19,1.00062
2021-05-20,1.001725
2021-05-21,1.001907
2021-05-22,1.001962
2021-05-23,1.001569
2021-05-24,1.001623
2021-05-25,1.001424
2021-05-26,1.001113
2021-05-27,1.001789
2021-05-28,1.000907
2021-05-29,1.0005
2021-05-30,1.000372
2021-05-31,0.999986
2021-06-01,1.000478
2021-06-02,1.000071
2021-06-03,1.000365
2021-06-04,1.000455
2021-06-05,1.001146
2021-06-06,1.00047
2021-06-07,1.000853
2021-06-08,1.000729
2021-06-09,1.001213
2021-06-10,1.000532
2021-06-11,1.000764
2021-06-12,1.000485
2021-06-13,1.001137
2021-06-14,0.999695
2021-06-15,1.000465
2021-06-16,1.000388
2021-06-17,1.000112
2021-06-18,1.000704
2021-06-19,1.001646
2021-06-20,1.001548
2021-06-21,1.000914
2021-06-22,1.000156
2021-06-23,1.000962
2021-06-24,1.000726
2021-06-25,1.000093
2021-06-26,0.999855
2021-06-27,1.00126
2021-06-28,1.000689
2021-06-29,0.999951
2021-06-30,1.000053
2021-07-01,1.000201
2021-07-02,1.000301
2021-07-03,1.000046
2021-07-04,0.999987
2021-07-05,0.999426
2021-07-06,1.000728
2021-07-07,1.000022
2021-07-08,1.000628
2021-07-09,0.999897
2021-07-10,0.999733
2021-07-11,1.000051
2021-07-12,1.000234
2021-07-13,1.00036
2021-07-14,1.00002
2021-07-15,1.000124
2021-07-16,0.999954
2021-07-17,1.000366
2021-07-18,1.000558
2021-07-19,1.000645
2021-07-20,1.000111
2021-07-21,1.000292
2021-07-22,1.000208
2021-07-23,1.000265
2021-07-24,1.000295
2021-07-25,1.000692
2021-07-26,1.000184
2021-07-27,1.000104
2021-07-28,1.000085
2021-07-29,1.000073
2021-07-30,1.000299
2021-07-31,1.000385
2021-08-01,1.000449
2021-08-02,1.000393
2021-08-03,1.000576
2021-08-04,1.000289
2021-08-05,1.000125
2021-08-06,1.000077
2021-08-07,1.000336
2021-08-08,1.000538
2021-08-09,1.000114
2021-08-10,1.000172
2021-08-11,1.000275
2021-08-12,1.000515
2021-08-13,1.000653
2021-08-14,1.000186
2021-08-15,1.000689
2021-08-16,1.000568
2021-08-17,1.000387
2021-08-18,1.000164
2021-08-19,1.0005
2021-08-20,0.999778
2021-08-21,1.00059
2021-08-22,1.000669
2021-08-23,1.000872
2021-08-24,1.000764
2021-08-25,1.000429
2021-08-26,1.000233
2021-08-27,1.000399
2021-08-28,1.000405
2021-08-29,1.000575
2021-08-30,1.001098
2021-08-31,1.000618
2021-09-01,1.000632
2021-09-02,1.000352
2021-09-03,1.00038
2021-09-04,1.000295
2021-09-05,1.000512
2021-09-06,1.000288
2021-09-07,1.000024
2021-09-08,1.00069
2021-09-09,1.000329
2021-09-10,1.000172
2021-09-11,1.000298
2021-09-12,1.001041
2021-09-13,0.999625
2021-09-14,1.000313
2021-09-15,1.000516
2021-09-16,1.000332
2021-09-17,1.000294
2021-09-18,0.999625
2021-09-19,0.99949
2021-09-20,1.000342
2021-09-21,1.000048
2021-09-22,1.00005
2021-09-23,1.000043
2021-09-24,1.000594
2021-09-25,1.000904
2021-09-26,1.000905
2021-09-27,1.000751
2021-09-28,1.000461
2021-09-29,1.000403
2021-09-30,1.000382
2021-10-01,1.000115
2021-10-02,1.000107
2021-10-03,1.000422
2021-10-04,1.000259
2021-10-05,0.999858
2021-10-06,1.000456
2021-10-07,1.000477
2021-10-08,1.000406
2021-10-09,1.000004
2021-10-10,1.000128
2021-10-11,1.000952
2021-10-12,1.000619
2021-10-13,0.99992
2021-10-14,1.000062
2021-10-15,0.999977
2021-10-16,0.999135
2021-10-17,1.00001
2021-10-18,1.00033
2021-10-19,1.000059
2021-10-20,1.000137
2021-10-21,0.999877
2021-10-22,1.000024
2021-10-23,0.999924
2021-10-24,1.000856
2021-10-25,1.000219
2021-10-26,0.999451
2021-10-27,1.000239
2021-10-28,1.000801
2021-10-29,1.000428
2021-10-30,1.000072
2021-10-31,1.000384
2021-11-01,1.000382
2021-11-02,1.000369
2021-11-03,1.000822
2021-11-04,1.000648
2021-11-05,1.000975
2021-11-06,1.001545
2021-11-07,1.001316
2021-11-08,1.001423
2021-11-09,1.000522
2021-11-10,1.000101
2021-11-11,1.000357
2021-11-12,1.001448
2021-11-13,0.999111
2021-11-14,1.000842
2021-11-15,1.00026
2021-11-16,1.001457
2021-11-17,1.000489
2021-11-18,1.000169
2021-11-19,1.00007
2021-11-20,1.00068
2021-11-21,0.999638
2021-11-22,1.001288
2021-11-23,1.000507
2021-11-24,0.999986
2021-11-25,0.999483
2021-11-26,1.000986
2021-11-27,1.000287
2021-11-28,1.001281
2021-11-29,0.999929
2021-11-30,1.000583
2021-12-01,1.000449
2021-12-02,1.000234
2021-12-03,0.999993
2021-12-04,1.000505
2021-12-05,0.999861
2021-12-06,1.000632
2021-12-07,1.00124
2021-12-08,1.000941
